                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                0.01521,                 6.8178,                 1.2334,                0.68715,                0.58413,                0.64554,                0.38847,                0.01534,                 6.4147,                 1.1419,              0.0001213,              0.0001213,              0.0001213
                     86,                0.01488,                  7.202,                 1.2111,                0.68623,                0.58942,                0.64748,                0.38596,                0.01555,                 6.5073,                 1.1507,             0.00011425,             0.00011425,             0.00011425
                     87,                0.01438,                 6.3138,                 1.1429,                0.67001,                0.61797,                0.65169,                0.39242,                0.01527,                 6.3678,                 1.1446,             0.00010719,             0.00010719,             0.00010719
                     88,                0.01518,                 6.8344,                 1.2171,                0.70923,                0.56612,                0.64448,                0.38034,                0.01559,                 6.5571,                  1.151,             0.00010014,             0.00010014,             0.00010014
                     89,                0.01486,                 6.8187,                 1.2145,                0.69967,                0.60002,                0.64522,                0.38726,                0.01545,                 6.4331,                 1.1475,              9.308e-05,              9.308e-05,              9.308e-05
                     90,                0.01502,                 7.2888,                 1.2086,                0.68547,                0.59503,                 0.6535,                0.38763,                0.01568,                 6.4805,                 1.1563,             8.6024e-05,             8.6024e-05,             8.6024e-05
                     91,                0.01236,                 5.3432,                 1.0372,                0.70922,                0.58637,                0.64612,                 0.3891,                0.01517,                 6.4226,                 1.1444,             7.8968e-05,             7.8968e-05,             7.8968e-05
                     92,                0.01307,                 6.2404,                 1.0765,                0.68137,                0.58681,                0.62853,                0.38316,                0.01461,                 6.5888,                 1.1283,             7.1912e-05,             7.1912e-05,             7.1912e-05
                     93,                0.01327,                 5.8544,                 1.0441,                0.71718,                0.57417,                0.63195,                0.38973,                0.01463,                 6.4874,                 1.1254,             6.4856e-05,             6.4856e-05,             6.4856e-05
                     94,                  0.013,                 5.7422,                 1.0655,                0.69425,                0.59366,                 0.6293,                0.38549,                0.01451,                 6.5705,                 1.1254,               5.78e-05,               5.78e-05,               5.78e-05
                     95,                 0.0136,                 6.5892,                 1.0557,                0.69919,                0.58177,                0.62102,                0.38957,                0.01446,                 6.5365,                 1.1205,             5.0744e-05,             5.0744e-05,             5.0744e-05
                     96,                0.01301,                 5.6717,                 1.0491,                0.66578,                0.60749,                0.63771,                0.40019,                0.01436,                 6.3575,                 1.1157,             4.3688e-05,             4.3688e-05,             4.3688e-05
                     97,                0.01287,                 5.2084,                 1.0787,                0.68898,                0.58262,                0.63656,                0.39872,                0.01424,                 6.3939,                 1.1128,             3.6632e-05,             3.6632e-05,             3.6632e-05
                     98,                0.01339,                  5.403,                 1.1348,                0.72461,                0.56656,                0.64002,                 0.3983,                0.01424,                 6.4078,                 1.1134,             2.9576e-05,             2.9576e-05,             2.9576e-05
                     99,                0.01377,                 6.5675,                 1.0732,                0.70416,                0.57618,                0.63628,                0.39443,                0.01432,                 6.4158,                 1.1175,              2.252e-05,              2.252e-05,              2.252e-05
                    100,                0.01226,                 5.8966,                  1.013,                0.70762,                0.57576,                0.64212,                0.39834,                0.01427,                 6.3574,                  1.114,             1.5464e-05,             1.5464e-05,             1.5464e-05
