                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                0.00723,                 4.9505,                 1.4396,                0.59619,                0.54094,                0.55326,                0.24478,                 0.0089,                 4.2941,                  1.545,             0.00067234,             0.00067234,             0.00067234
                     69,                0.00722,                 4.9123,                 1.4418,                0.60873,                0.55948,                0.57687,                0.28913,                0.00786,                 4.0732,                  1.396,             0.00067171,             0.00067171,             0.00067171
                     70,                0.00719,                 5.0001,                 1.4638,                  0.591,                0.53112,                0.56036,                0.27039,                0.00801,                 4.2846,                 1.4089,             0.00067109,             0.00067109,             0.00067109
                     71,                0.00722,                 4.8456,                 1.4828,                0.63951,                0.49933,                0.55303,                0.24889,                0.00856,                  4.247,                 1.4817,             0.00067047,             0.00067047,             0.00067047
                     72,                0.00694,                 4.7698,                 1.4068,                0.63127,                0.55002,                0.57648,                 0.2425,                0.00911,                 4.4091,                 1.5685,             0.00066985,             0.00066985,             0.00066985
                     73,                0.00711,                 4.6051,                  1.403,                0.64258,                0.54971,                0.57284,                0.26958,                0.00827,                 4.1197,                 1.4467,             0.00066923,             0.00066923,             0.00066923
                     74,                0.00705,                 4.5695,                 1.4164,                0.71781,                 0.5203,                0.59363,                0.29212,                0.00791,                 3.9276,                 1.4085,             0.00066861,             0.00066861,             0.00066861
                     75,                0.00708,                 4.7702,                 1.4277,                0.64485,                0.55134,                 0.5811,                   0.26,                 0.0085,                 3.9846,                 1.4546,             0.00066798,             0.00066798,             0.00066798
                     76,                0.00709,                 4.7093,                 1.4404,                0.63241,                0.52896,                0.55839,                0.24269,                0.00902,                 4.2275,                 1.5306,             0.00066736,             0.00066736,             0.00066736
                     77,                0.00712,                 4.5744,                 1.4019,                0.64337,                0.56211,                0.59601,                0.26116,                0.00873,                 3.9927,                 1.4727,             0.00066674,             0.00066674,             0.00066674
                     78,                0.00724,                 4.7145,                 1.4265,                0.69268,                0.53598,                0.60192,                0.29962,                0.00775,                 3.7856,                  1.412,             0.00066612,             0.00066612,             0.00066612
                     79,                0.00722,                 4.5976,                 1.4512,                 0.6419,                0.53812,                0.58377,                0.28739,                0.00802,                 4.0421,                  1.418,              0.0006655,              0.0006655,              0.0006655
                     80,                0.00726,                  4.766,                 1.4433,                0.60444,                0.53571,                 0.5678,                0.27888,                0.00786,                  3.981,                 1.4055,             0.00066487,             0.00066487,             0.00066487
                     81,                0.00723,                 4.5793,                 1.4328,                0.64089,                0.53504,                0.59136,                0.27304,                0.00856,                 3.9825,                 1.4821,             0.00066425,             0.00066425,             0.00066425
